 #V_push =    1.60943791E-02
   102.813553         0.966398716           3.22811212E-03 	   1.65472031    
   102.823555         0.966416299           2.52495287E-04 	   1.65488124    
   102.833557         0.966437519           7.29797874E-03 	   1.65504229    
   102.843559         0.966497421           4.64738067E-03 	   1.65520322    
   102.853561         0.966529787           1.79011002E-03 	   1.65536416    
   102.863564         0.966532469           2.03531678E-03 	   1.65552521    
   102.873566         0.966537714           2.30237353E-03 	   1.65568614    
   102.883568         0.966545701           2.59300414E-03 	   1.65584719    
   102.893570         0.966556728           2.90905894E-03 	   1.65600812    
   102.903572         0.966571093           3.25252162E-03 	   1.65616906    
   102.913574         0.966589034           2.92169629E-04 	   1.65633011    
   102.923576         0.966610730           7.35405926E-03 	   1.65649104    
   102.933578         0.966671288           4.72101849E-03 	   1.65665209    
   102.943581         0.966704488           1.88287511E-03 	   1.65681303    
   102.953583         0.966708183           2.14898959E-03 	   1.65697396    
   102.963585         0.966714680           2.43864558E-03 	   1.65713501    
   102.973587         0.966724157           2.75369361E-03 	   1.65729594    
   102.983589         0.966736913           3.09611787E-03 	   1.65745687    
   102.993591         0.966753244           1.34708825E-04 	   1.65761793    
   103.003593         0.966773391           7.19577866E-03 	   1.65777886    
   103.013596         0.966832340           4.56223637E-03 	   1.65793991    
   103.023598         0.966863930           1.72313792E-03 	   1.65810084    
   103.033600         0.966866016           1.98782235E-03 	   1.65826178    
   103.043602         0.966870844           2.27597822E-03 	   1.65842283    
   103.053604         0.966878712           2.58945371E-03 	   1.65858376    
   103.063606         0.966889858           2.93022976E-03 	   1.65874481    
   103.073608         0.966904521           3.30043095E-03 	   1.65890574    
   103.083611         0.966923058           3.68975569E-04 	   1.65906668    
   103.093613         0.966945708           7.46192271E-03 	   1.65922773    
   103.103615         0.967007458           4.86210175E-03 	   1.65938866    
   103.113617         0.967042267           2.06014514E-03 	   1.65954959    
   103.123619         0.967047930           2.36582174E-03 	   1.65971065    
   103.133621         0.967056751           2.69823149E-03 	   1.65987158    
   103.143623         0.967069089           3.05945985E-03 	   1.66003263    
   103.153625         0.967085183           1.18406257E-04 	   1.66019356    
   103.163628         0.967105269           7.20149372E-03 	   1.66035450    
   103.173630         0.967164397           4.59168758E-03 	   1.66051555    
   103.183632         0.967196405           1.77826616E-03 	   1.66067648    
   103.193634         0.967199206           2.07084510E-03 	   1.66083741    
   103.203636         0.967205048           2.38917139E-03 	   1.66099846    
   103.213638         0.967214227           2.73526344E-03 	   1.66115940    
   103.223640         0.967226982           3.11128329E-03 	   1.66132045    
   103.233643         0.967243671           1.86208868E-04 	   1.66148138    
   103.243645         0.967264533           7.28641078E-03 	   1.66164231    
   103.253647         0.967324615           4.69486043E-03 	   1.66180336    
   103.263649         0.967357755           1.90139189E-03 	   1.66196430    
   103.273651         0.967361867           2.21584504E-03 	   1.66212535    
   103.283653         0.967369258           2.55780225E-03 	   1.66228628    
   103.293655         0.967380226           2.92940950E-03 	   1.66244721    
   103.303658         0.967395067           3.33296694E-03 	   1.66260827    
   103.313660         0.967414081           4.37569804E-04 	   1.66276920    
   103.323662         0.967437625           7.56932842E-03 	   1.66293013    
   103.333664         0.967500687           5.01107518E-03 	   1.66309118    
   103.343666         0.967537165           2.25431449E-03 	   1.66325212    
   103.353668         0.967545033           2.60933372E-03 	   1.66341317    
   103.363670         0.967556596           2.99505889E-03 	   1.66357410    
   103.373672         0.967572153           8.05307645E-05 	   1.66373503    
   103.383675         0.967592001           7.19234813E-03 	   1.66389608    
   103.393677         0.967651188           4.61355597E-03 	   1.66405702    
   103.403679         0.967683613           1.83363794E-03 	   1.66421807    
   103.413681         0.967687130           2.16257060E-03 	   1.66437900    
   103.423683         0.967694044           2.52021849E-03 	   1.66453993    
   103.433685         0.967704713           2.90881982E-03 	   1.66470098    
   103.443687         0.967719436           3.33077111E-03 	   1.66486192    
   103.453690         0.967738569           4.55267029E-04 	   1.66502285    
   103.463692         0.967762351           7.60847609E-03 	   1.66518390    
   103.473694         0.967825890           5.07324561E-03 	   1.66534483    
   103.483696         0.967863142           2.34146044E-03 	   1.66550589    
   103.493698         0.967872024           2.72369548E-03 	   1.66566682    
   103.503700         0.967884839           3.13882786E-03 	   1.66582775    
   103.513702         0.967902005           2.56047351E-04 	   1.66598880    
   103.523705         0.967923760           7.40178209E-03 	   1.66614974    
   103.533707         0.967985213           4.85905074E-03 	   1.66631067    
   103.543709         0.968020260           2.11864267E-03 	   1.66647172    
   103.553711         0.968026817           2.49099080E-03 	   1.66663265    
   103.563713         0.968037248           2.89551122E-03 	   1.66679370    
   103.573715         0.968051910           1.35810114E-06 	   1.66695464    
   103.583717         0.968071103           7.13535771E-03 	   1.66711557    
   103.593719         0.968129814           4.58062626E-03 	   1.66727662    
   103.603722         0.968162000           1.82657666E-03 	   1.66743755    
   103.613724         0.968165576           2.18345574E-03 	   1.66759861    
   103.623726         0.968172848           2.57134601E-03 	   1.66775954    
   103.633728         0.968184173           2.99265631E-03 	   1.66792047    
   103.643730         0.968199909           1.16626732E-04 	   1.66808152    
   103.653732         0.968220353           7.26994453E-03 	   1.66824245    
   103.663734         0.968280554           4.73572640E-03 	   1.66840339    
   103.673737         0.968314409           2.00418895E-03 	   1.66856444    
   103.683739         0.968319893           2.38583935E-03 	   1.66872537    
   103.693741         0.968329370           2.80046603E-03 	   1.66888642    
   103.703743         0.968343139           3.25061777E-03 	   1.66904736    
   103.713745         0.968361616           4.05657105E-04 	   1.66920829    
   103.723747         0.968385100           7.59194186E-03 	   1.66936934    
   103.733749         0.968448699           5.09242713E-03 	   1.66953027    
   103.743752         0.968486309           2.39919126E-03 	   1.66969132    
   103.753754         0.968495965           2.82323267E-03 	   1.66985226    
   103.763756         0.968510032           3.28356121E-03 	   1.67001319    
   103.773758         0.968528867           4.49588755E-04 	   1.67017424    
   103.783760         0.968552828           7.64765870E-03 	   1.67033517    
   103.793762         0.968617022           5.16069401E-03 	   1.67049611    
   103.803764         0.968655407           2.48115486E-03 	   1.67065716    
   103.813766         0.968665957           2.92020757E-03 	   1.67081809    
   103.823769         0.968681037           6.34044409E-05 	   1.67097914    
   103.833771         0.968701005           7.23760435E-03 	   1.67114007    
   103.843773         0.968760967           4.72599082E-03 	   1.67130101    
   103.853775         0.968794882           2.01880559E-03 	   1.67146206    
   103.863777         0.968800664           2.42681429E-03 	   1.67162299    
   103.873779         0.968810678           2.86995200E-03 	   1.67178404    
   103.883781         0.968825281           1.75905880E-05 	   1.67194498    
   103.893784         0.968844831           7.19669089E-03 	   1.67210591    
   103.903786         0.968904436           4.69046319E-03 	   1.67226696    
   103.913788         0.968937993           1.98899792E-03 	   1.67242789    
   103.923790         0.968943477           2.40311562E-03 	   1.67258883    
   103.933792         0.968953252           2.85287458E-03 	   1.67274988    
   103.943794         0.968967736           7.68527389E-06 	   1.67291081    
